UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,Creator,Subjects,Publisher,PublicationYear
Physical,Horizon,BOOK,2005,4,1,Las Vegas including North Las Vegas Henderson Boulder City and beyond,,"Las Vegas Nev Guidebooks, Las Vegas Region Nev Guidebooks",,
Physical,Horizon,BOOK,2005,4,1,Pumpkin circle : the story of a garden / story by George Levenson ; photography by Shmuel Thaler.,"Levenson, George","Pumpkin Juvenile literature, Pumpkin Life cycles Juvenile literature","Tricycle Press,",c1999.
Physical,Horizon,SOUNDCASS,2005,4,1,Lovers Lane,,"Love stories, California Fiction, Custody of children Fiction, Single mothers Fiction, Private investigators Fiction, Romantic suspense fiction",,
Physical,Horizon,BOOK,2005,4,1,Our mutual friend,,,,
Physical,Horizon,VIDEOCASS,2005,4,6,Butterflies are free,,"Feature films, Comedy films",,
Physical,Horizon,BOOK,2005,4,1,haunted looking glass ghost stories,,Ghost stories English,,
Physical,Horizon,BOOK,2005,4,4,Seriously funny the rebel comedians of the 1950s and 1960s,,"Comedians United States Biography, Stand up comedy United States History 20th century",,
Physical,Horizon,BOOK,2005,4,1,dads guide to the toddler years,,"Father and child, Toddlers, Toddlers Care",,
Physical,Horizon,VIDEODISC,2005,4,7,"Kagemusha [videorecording] : the shadow warrior / Toho, Kurosawa Purodakushon ; directed by Akira Kurosawa.",,"Samurai Japan Drama, Daimyo Japan Drama, Feature films, Motion pictures Japanese",20th Century Fox Home Entertainment :,"[2005],"
Physical,Horizon,SOUNDDISC,2005,4,2,Chocolate factory [sound recording] / R. Kelly.,"Kelly, R., 1969-",Popular music 2001 2010,"Jive,",p2003.
Physical,Horizon,BOOK,2005,4,2,Vogue knitting baby knits.,,Knitting Patterns,"Butterick Pub. Co.,",c1999.
Physical,Horizon,BOOK,2005,4,6,Hegemony or survival : America's quest for global dominance / Noam Chomsky.,"Chomsky, Noam","United States Foreign relations 2001 2009, United States Foreign relations 20th century, Imperialism, United States Military policy, Unilateral acts International law, Intervention International law, State sponsored terrorism, War on Terrorism 2001 2009","Metropolitan Books,",2003.
Physical,Horizon,BOOK,2005,4,2,The Subject Steve : a novel / Sam Lipsyte.,"Lipsyte, Sam, 1968-","Terminally ill Fiction, Black humor Literature","Broadway Books,",c2001.
Physical,Horizon,BOOK,2005,4,3,American roulette : how I turned the odds upside down - my wild twenty-five year ride ripping off the world's casinos / Richard Marcus.,"Marcus, Richard","Marcus Richard, Gamblers United States Biography, Gambling, Casinos, Swindlers and swindling","Thomas Dunne Books,",2003.
Physical,Horizon,BOOK,2005,4,1,Nightpool,,Fantasy,,
Physical,Horizon,VIDEOCASS,2005,4,1,Birth of a nation,,"Feature films, Silent films, United States History Civil War 1861 1865 Drama, Birth of a nation Motion picture, United States History 1865 1898 Drama, Ku Klux Klan 1915 Drama",,
Physical,Horizon,BOOK,2005,4,5,Field notes on the compassionate life a search for the soul of kindness,,"Conduct of life, Happiness, Kindness, Compassion",,
Physical,Horizon,SOUNDDISC,2005,4,3,Lotte Lenya sings Kurt Weill American theatre songs Songs from The threepenny opera and Cabaret,,"Operas Excerpts, Musicals Excerpts",,
Physical,Horizon,SOUNDDISC,2005,4,3,Aquemini [sound recording] / Outkast.,OutKast (Musical group),Rap Music,"LaFace,",p1998.
Physical,Horizon,BOOK,2005,4,1,Artistic anatomy,,Anatomy Artistic,,
Physical,Horizon,BOOK,2005,4,1,How can I get through to you reconnecting men and women,,"Marriage, Marriage counseling, Sex role, Intimacy Psychology",,
Physical,Horizon,BOOK,2005,4,1,Noise lullaby,,"Bedtime Fiction, Sound Fiction",,
Physical,Horizon,SOUNDDISC,2005,4,1,Lets talk about it,,Popular music 2001 2010,,
Physical,Horizon,VIDEODISC,2005,4,8,Pilates complete for everyone,,Pilates method,,
Physical,Horizon,BOOK,2005,4,1,Brooklyn people and places past and present,,"New York N Y Pictorial works, New York N Y History Pictorial works, Brooklyn New York N Y Pictorial works, Brooklyn New York N Y History Pictorial works",,
Physical,Horizon,BOOK,2005,4,3,"Lizards, frogs, and polliwogs : poems and paintings / by Douglas Florian.","Florian, Douglas","Reptiles Juvenile poetry, Amphibians Juvenile poetry, Childrens poetry American Juvenile literature, American poetry Juvenile literature, Humorous poetry Juvenile literature","Harcourt,",c2001.
Physical,Horizon,SOUNDDISC,2005,4,2,Greatest hits Volume 1,,Popular music 1961 1970,,
Physical,Horizon,SOUNDDISC,2005,4,5,For the kids,,"Songs, Childrens songs Juvenile sound recordings",,
Physical,Horizon,BOOK,2005,4,3,Merle the high flying squirrel.,"Peet, Bill",Squirrels Juvenile fiction,"Houghton Mifflin,",1974.
Physical,Horizon,BOOK,2005,4,1,"The last kilometer : marching to victory in Europe with the Big Red One, 1944-1945 / A. Preston Price.","Price, A. Preston, 1921-","Price A Preston 1921, United States Army Infantry Division 1st Biography, United States Army Officers Biography, World War 1939 1945 Campaigns Western Front, World War 1939 1945 Personal narratives American","Naval Institute Press,",c2002.
Physical,Horizon,BOOK,2005,4,3,filth 1,,Graphic novels,,
Physical,Horizon,BOOK,2005,4,1,great American gold rush,,"Overland journeys to the Pacific, Voyages to the Pacific coast Juvenile literature, Overland journeys to the Pacific Juvenile literature, Voyages to the Pacific coast, California Gold discoveries Juvenile literature, California Description and travel Juvenile literature, California Gold discoveries, California Description and travel",,
Physical,Horizon,BOOK,2005,4,1,elves and the shoemaker a story by the Brothers Grimm,,Fairy tales,,
Physical,Horizon,BOOK,2005,4,1,Turkey,,"Cookery Turkish, Turkey Guidebooks, Food habits Turkey",,
Physical,Horizon,SOUNDDISC,2005,4,3,St Matthew passion,,"Passion music, Oratorios",,
Physical,Horizon,BOOK,2005,4,1,Moon rope : a Peruvian folktale = Un lazo a la luna : una leyenda peruana / Lois Ehlert ; translated into Spanish by Amy Prince.,"Ehlert, Lois","Folklore Peru Juvenile literature, Spanish language materials Bilingual, Moon Folklore Juvenile literature","Harcourt Brace Jovanovich,",c1992.
Physical,Horizon,BOOK,2005,4,3,Between two rivers,,"New York N Y Fiction, Apartment houses Fiction",,
Physical,Horizon,BOOK,2005,4,1,The majesty of the law : reflections of a Supreme Court Justice / Sandra Day O'Connor ; edited by Craig Joyce.,"O'Connor, Sandra Day, 1930-","OConnor Sandra Day 1930, United States Supreme Court, Judges United States, Rule of law United States","Random House,",c2003.
Physical,Horizon,BOOK,2005,4,2,Darkness falls,,"Suspense fiction, Women lawyers Fiction, Kidnapping victims Fiction, Cheshire England Fiction",,
Physical,Horizon,BOOK,2005,4,1,Michael Jordan,,"Basketball players, African Americans Biography, Basketball players United States Biography Juvenile literature, Jordan Michael 1963 Juvenile literature, Jordan Michael 1963",,
Physical,Horizon,SOUNDDISC,2005,4,1,Leap of faith,,"Romantic suspense fiction, France Fiction, Married women Fiction, Iowa Fiction, Orphans Fiction, Americans France Fiction, Castles Fiction",,
Physical,Horizon,BOOK,2005,4,1,Poundemonium,,"Humorous fiction, Pound Ezra 1885 1972 Fiction",,
Physical,Horizon,SOUNDDISC,2005,4,1,Sylvia Hotel,,"Popular music 1991 2000, Country music 1991 2000",,
Physical,Horizon,SOUNDCASS,2005,4,1,murder a mystery and a marriage,,"Mystery fiction, Farmers Fiction, Missouri Fiction, Murder Missouri Fiction",,
